Item Id	Item Name	Price	Sales	Shop Name	Commission Rate	Commission	Product Link	Offer Link
19799202202	Karseell Collagen Tratamento Capilar 500g	114,00	100mil+	karseell®	21%	R$4,81	https://shopee.com.br/product/1179613076/19799202202	https://s.shopee.com.br/9pYNirKRGI
23693189421	GUI ANA Organizador Prateleira Diamante Acrílico Porta Maquiagem Beleza linhas	21,89	40mil+	GUI ANA SHOP	11%	R$2,41	https://shopee.com.br/product/1299283009/23693189421	https://s.shopee.com.br/9fExWYL4bH
17793817412	Escova Secadora Alisador Elétrica Quente Cabelo Com 3 Em1 Hair Styler FANG APENAS 110V	45,89	90mil+	Fang.store	3%	R$1,23	https://shopee.com.br/product/526596865/17793817412	https://s.shopee.com.br/6Af5M7YOhc
22597347421	NIVEA SUN Protetor Solar Protect & Hidrata Ultra FPS 60 150ml BBB 26	40,90	183	NIVEA OFICIAL	43%	R$18,45	https://shopee.com.br/product/502619181/22597347421	https://s.shopee.com.br/60Lf9oZ22b
23398539116	Natura Tododia Framboesa e Pimenta Vermelha - Linha Completa - Escolha seu Item	69,99	272	A2 Perfumaria	11%	R$5,28	https://shopee.com.br/product/283238461/23398539116	https://s.shopee.com.br/6VHvkjX81i
2986843310	NIVEA Loção Hidratante Milk Pele Seca a Extrasseca 200ml BBB 26	17,90	40mil+	NIVEA OFICIAL	15%	R$2,39	https://shopee.com.br/product/502619181/2986843310	https://s.shopee.com.br/6KyVYQXlMh
23393092888	kit Progressiva Karseell 500g + Shampoo Karseell 500g	51,00	10mil+	KARSEEN COSMETICS 	23%	R$11,48	https://shopee.com.br/product/319532890/23393092888	https://s.shopee.com.br/5VPOYtaw3Y
24034090678	Paleta de Sombras com 40 Cores - Acabamento Matte e Shimmer, Alta Pigmentação, Efeito Esfumado e Longa Duração.	28,85	30mil+	Choice Oficial	11%	R$2,31	https://shopee.com.br/product/1006215031/24034090678	https://s.shopee.com.br/5L5yMabZOX
11856449562	Kit Nutrição Capilar Profissional Soul Care 300g | Shampoo Condicionador Máscara com Queratina	69,99	405	Loja.SoulCare	38%	R$26,60	https://shopee.com.br/product/443754236/11856449562	https://s.shopee.com.br/5q2ExVZfNe
22998876843	Boticário Nativa Spa Uva Merlot Kit Hidratante 400ml + Refil 350ml	113,91	663	Kay Perfumaria	14%	R$7,97	https://shopee.com.br/product/1078994982/22998876843	https://s.shopee.com.br/7VASwZTK00
23792785771	Principia Kit Anti-Acne Trio Gel de Limpeza GL-01 + Sérum Mix-01 + Protetor Solar Facial PS-01	129,75	30mil+	Principia Skincare	3%	R$3,89	https://shopee.com.br/product/373261329/23792785771	https://s.shopee.com.br/7Kr2kGTxKz
23698691180	Kit Cronograma Capilar Completo Karseell – 3 Máscaras (Hidratação, Nutrição e Reconstrução)	39,00	40mil+	Karseell Oficial 	16%	R$4,80	https://shopee.com.br/product/407760070/23698691180	https://s.shopee.com.br/7pnJLBS3K6
19399262306	Kit Kameell Máscara 500g + Óleo 50ml | Hidratação Profunda, Reconstrução e Brilho Intenso	38,90	10mil+	Kameell	24%	R$7,00	https://shopee.com.br/product/1110838097/19399262306	https://s.shopee.com.br/6pum9LVrLw
21899305305	Depilador de Sombrancelha Buço Nariz Orelha Rosto Facial Elétrico Tira Pelos USB Recarregável Profissional Portátil	19,99	100mil+	IMPÉRIO LIFE	3%	R$0,60	https://shopee.com.br/product/1215185317/21899305305	https://s.shopee.com.br/7AXcXxUag2
26037586168	NIVEA Sabonete Líquido Óleo de Banho - 200 ml	34,9	20mil+	NIVEA OFICIAL	18%	R$6,28	https://shopee.com.br/product/502619181/26037586168	https://s.shopee.com.br/70ECLeVE11
23098889747	Paleta de Sombras Glass Mirror Shade 18 Cores Ruby Rose Make Completa Profissional Envio Full	41,54	6mil+	Ge Distribuidora	7%	R$2,76	https://shopee.com.br/product/1617341510/23098889747	https://s.shopee.com.br/3VeKBDiY7M
19399548226	NIVEA Q10 Sérum Antissinais Expert Dupla Ação 30ml BBB 26	70,90	3mil+	NIVEA OFICIAL	33%	R$28,68	https://shopee.com.br/product/502619181/19399548226	https://s.shopee.com.br/3LKtyujBSL
22299034318	NIVEA Loção Hidratante Milk Pele Seca a Extrasseca 200ml -3 Unidades BBB 26	45,9	10mil+	NIVEA OFICIAL	15%	R$6,89	https://shopee.com.br/product/502619181/22299034318	https://s.shopee.com.br/3qHAZphHRS
3084524652	NIVEA Hidratante Desodorante Soft Milk 200ml BBB 26	17,9	10mil+	NIVEA OFICIAL	15%	R$2,69	https://shopee.com.br/product/502619181/3084524652	https://s.shopee.com.br/2qOdNzl5TI
20298293546	Kit Skin Care Clareador Facial Vitamina C para Manchas, Melasma e Anti-idade Sérum, Sabonete, Água Micelar Gel	79,90	1mil+	Senhora Di Casa	15%	R$3,59	https://shopee.com.br/product/329203540/20298293546	https://s.shopee.com.br/2g5DBglioH
19197398472	Amend Expertise KIT Marula Nutrition Completo com 5 Produtos	183,59	2mil+	AMEND OFICIAL	28%	R$52,49	https://shopee.com.br/product/1077804858/19197398472	https://s.shopee.com.br/3B1TmbjonO
18497402527	AMEND MÁSCARA NUTRITIVA EXPERTISE MARULA FABULOUS NUTRITION 300G	38,97	8mil+	AMEND OFICIAL	28%	R$13,03	https://shopee.com.br/product/1077804858/18497402527	https://s.shopee.com.br/30i3aIkS8N
18232758480	NIVEA Hidratante Corporal Beleza Radiante Pele Uniforme 200ml BBB 26	19,9	7mil+	NIVEA OFICIAL	18%	R$3,58	https://shopee.com.br/product/502619181/18232758480	https://s.shopee.com.br/4q9hlfdTPk
22892447218	AMEND KIT EXPERTISE COMPLETE REPAIR | 5 PRODUTOS	185,58	1mil+	AMEND OFICIAL	22%	R$41,76	https://shopee.com.br/product/1077804858/22892447218	https://s.shopee.com.br/4fqHZMe6kj
16693709236	NIVEA Hidratante Facial Beleza Radiante 7 em 1 100g BBB 26	31,90	20mil+	NIVEA OFICIAL	15%	R$4,49	https://shopee.com.br/product/502619181/16693709236	https://s.shopee.com.br/50T7xycq4p
23493478982	KIT lili 350ml creme e perfume acetinado corpo e mãos hidratante lily lulli cuide se bem	45,15	8mil+	AthenasDigital	3%	R$0,69	https://shopee.com.br/product/1339254692/23493478982	https://s.shopee.com.br/4Au0yRg0lg
22097296846	Protetor Solar facial PS-01 FPS 60	44,1	100mil+	Principia Skincare	3%	R$1,32	https://shopee.com.br/product/373261329/22097296846	https://s.shopee.com.br/40aam8ge6f
41660375635	Blush Líquido RARE BEAUTY Soft Pinch 7.5ML	29,99	1mil+	Beautyup02.br	7%	R$0,85	https://shopee.com.br/product/955204066/41660375635	https://s.shopee.com.br/4VWrN3ek5m
22398320827	Removedor Cravos e Espinhas Extrator de Cravos Sucção a Vácuo Aparelho Recarregável Sugador Remove Acne	25,99	8mil+	OPA LEGAL	7%	R$1,82	https://shopee.com.br/product/386512962/22398320827	https://s.shopee.com.br/4LDRAkfNQl
22494497880	Kit collagen Shampoo Condicionador Purificador 1L Máscara Hidratação 500g Óleo Reparador 60ml	59,90	7mil+	KameellBR	17,5%	R$7,63	https://shopee.com.br/product/1247395009/22494497880	https://s.shopee.com.br/qdZ0JshX6
23394306708	Lixador de Pé Elétrico - Esfoliador Tira Calos Pedicure Portátil Marisa Lixa Elimina Calo Portátil Usb Pilha	19,99	20mil+	JL SUPER STORE	12%	R$2,40	https://shopee.com.br/product/1522364802/23394306708	https://s.shopee.com.br/gK8o0tKs5
23898526571	Protetor solar facial PS-01 FPS 40	39,00	10mil+	Principia Skincare	3%	R$1,16	https://shopee.com.br/product/373261329/23898526571	https://s.shopee.com.br/1BGPOvrQrC
22794423162	Kit Capilar Óleo Extraordinário NEW HAIR (3 itens) - Shampoo, Condicionador e Máscara	28,9	8mil+	Bela Beleza Oficial	21%	R$6,07	https://shopee.com.br/product/1391354759/22794423162	https://s.shopee.com.br/10wzCcs
